
--- Training session started at Wed Apr 22 00:03:06 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
    1330    5/5     1.8424     6.3       --      --   0.375   279M/822M
    1340    5/5     1.9751     7.2       --      --   0.342   279M/822M
    1350    5/5     1.9601     7.1       --      --   0.383   279M/822M
    1360    5/5     1.8138     6.1       --      --   0.359   279M/822M
    1370    5/5     1.7571     5.8       --      --   0.323   279M/822M
    1380    5/5     2.0048     7.4       --      --   0.371   279M/822M
---------------------------------------------------------------------------
  EPOCH 5/5 SUMMARY: TrLoss=1.9425 | VaLoss=1.9714 | VaPPL=7.2
---------------------------------------------------------------------------

--- Training session started at Wed Apr 22 02:35:03 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
---------------------------------------------------------------------------
      10    1/5     2.0093     7.5       --      --   0.358   277M/832M
      20    1/5     1.8609     6.4       --      --   0.342   277M/832M
      30    1/5     1.9830     7.3       --      --   0.370   277M/832M
      40    1/5     2.3343    10.3       --      --   0.383   277M/832M
      50    1/5     1.9449     7.0       --      --   0.391   277M/832M
      60    1/5     1.9292     6.9       --      --   0.350   277M/832M
      70    1/5     1.8681     6.5       --      --   0.347   277M/832M
      80    1/5     1.8572     6.4       --      --   0.336   277M/832M
      90    1/5     2.1245     8.4       --      --   0.402   277M/832M
     100    1/5     1.9789     7.2       --      --   0.370   277M/832M
     110    1/5     1.8388     6.3       --      --   0.358   277M/832M
     120    1/5     2.2641     9.6       --      --   0.388   277M/832M
     130    1/5     2.0560     7.8       --      --   0.355   277M/832M
     140    1/5     2.0724     7.9       --      --   0.368   277M/832M
     150    1/5     2.0684     7.9       --      --   0.371   277M/832M
     160    1/5     1.9269     6.9       --      --   0.374   277M/832M
     170    1/5     2.1623     8.7       --      --   0.391   277M/832M
     180    1/5     2.0675     7.9       --      --   0.404   277M/832M
     190    1/5     2.0480     7.8       --      --   0.382   277M/832M
     200    1/5     2.5232    12.5       --      --   0.448   277M/832M
     210    1/5     1.7754     5.9       --      --   0.349   277M/832M
     220    1/5     1.7465     5.7       --      --   0.350   277M/832M
     230    1/5     2.1014     8.2       --      --   0.377   277M/832M
     240    1/5     1.9315     6.9       --      --   0.377   277M/832M
     250    1/5     1.8288     6.2       --      --   0.381   277M/832M
     260    1/5     1.9466     7.0       --      --   0.408   277M/832M
     270    1/5     2.0951     8.1       --      --   0.388   277M/832M
---------------------------------------------------------------------------
  EPOCH 1/5 SUMMARY: TrLoss=1.9317 | VaLoss=1.9647 | VaPPL=7.1
---------------------------------------------------------------------------
     280    2/5     1.9393     7.0       --      --   0.381   279M/832M
     290    2/5     2.1697     8.8       --      --   0.386   279M/832M
     300    2/5     1.9274     6.9       --      --   0.359   279M/832M
     310    2/5     2.0054     7.4       --      --   0.368   279M/832M
     320    2/5     1.9149     6.8       --      --   0.382   279M/832M
     330    2/5     1.6135     5.0       --      --   0.352   279M/832M
     340    2/5     1.8608     6.4       --      --   0.380   279M/832M
     350    2/5     1.6698     5.3       --      --   0.358   279M/832M
     360    2/5     1.6217     5.1       --      --   0.346   279M/832M
     370    2/5     1.9187     6.8       --      --   0.405   279M/832M
     380    2/5     1.9135     6.8       --      --   0.398   279M/832M
     390    2/5     2.1357     8.5       --      --   0.372   279M/832M
     400    2/5     2.0366     7.7       --      --   0.371   279M/832M
     410    2/5     1.6488     5.2       --      --   0.342   279M/832M
     420    2/5     1.8382     6.3       --      --   0.359   279M/832M
     430    2/5     1.7099     5.5       --      --   0.335   279M/832M
